t,active_cpu_fog,fog_capacity,pressure,worst_fog_pressure,predicted_pressure,prediction_uncertainty,lstm_fallback_used,dqn_fallback_used_tasks,scale_decision,offload_ratio,offload_reason,tasks_on_fog,tasks_on_cloud,tasks_placed_fog,tasks_placed_cloud,fog_nodes_used_tick,cloud_nodes_used_tick,scale_up_total,scale_down_total,energy_joules_cumul
135,207,595,0.34789915966386553,0.7363636363636363,1.1405409560484043,0.22186491472580852,0,0,none,0.3823287766314838,demand/capacity=1.14,13,4,5,2,4,2,3,1,128025.58454123278
136,274,595,0.46050420168067224,0.7363636363636363,1.1405409560484043,0.22186491472580852,0,0,none,0.3823287766314838,demand/capacity=1.14,16,4,10,1,4,1,3,1,129179.59442724459
137,289,595,0.4857142857142857,0.7363636363636363,1.1405409560484043,0.22186491472580852,0,0,none,0.3823287766314838,demand/capacity=1.14,19,10,5,6,3,2,3,1,130366.60431325641
138,261,595,0.43865546218487395,0.6705882352941176,1.1405409560484043,0.22186491472580852,0,0,none,0.3823287766314838,demand/capacity=1.14,22,7,7,0,3,0,3,1,131512.36419926822
139,227,595,0.3815126050420168,0.5363636363636364,1.1405409560484043,0.22186491472580852,0,0,none,0.3823287766314838,demand/capacity=1.14,21,7,7,2,4,2,3,1,132594.41239797353
140,247,595,0.4151260504201681,0.5636363636363636,1.0562742048852585,0.211752904586231,0,0,none,0.39282191106279996,demand/capacity=1.15,19,5,5,2,5,2,3,1,133709.30073177596
141,249,595,0.4184873949579832,0.509090909090909,1.0562742048852585,0.211752904586231,0,0,none,0.39282191106279996,demand/capacity=1.15,17,3,5,1,3,1,3,1,134839.52698423868
142,311,595,0.5226890756302521,1.0,1.0562742048852585,0.211752904586231,0,0,none,0.39282191106279996,demand/capacity=1.15,17,7,8,4,4,2,3,1,136054.45176611314
143,301,595,0.5058823529411764,0.99,1.0562742048852585,0.211752904586231,0,0,none,0.39282191106279996,demand/capacity=1.15,17,11,3,6,2,2,3,1,137256.11518435125
144,269,595,0.45210084033613446,0.99,1.0562742048852585,0.211752904586231,0,0,none,0.39282191106279996,demand/capacity=1.15,13,15,1,7,1,2,3,1,138385.2475021109
145,166,595,0.27899159663865547,0.62,1.0562742048852585,0.211752904586231,0,0,none,0.39282191106279996,demand/capacity=1.15,12,10,7,0,5,0,3,1,139345.48043906558
146,299,595,0.5025210084033613,0.9,1.0562742048852585,0.211752904586231,0,0,none,0.39282191106279996,demand/capacity=1.15,13,12,4,7,3,2,3,1,140524.99746692934
147,298,595,0.5008403361344538,0.8875,1.0562742048852585,0.211752904586231,0,0,none,0.39282191106279996,demand/capacity=1.15,12,12,1,5,1,2,3,1,141709.85874613002
148,290,595,0.48739495798319327,0.8875,1.0562742048852585,0.211752904586231,0,0,none,0.39282191106279996,demand/capacity=1.15,9,18,3,9,2,2,3,1,142879.7293132564
149,271,595,0.45546218487394957,0.8117647058823529,1.0562742048852585,0.211752904586231,0,0,none,0.39282191106279996,demand/capacity=1.15,10,20,6,4,4,2,3,1,144030.95215311003
150,255,595,0.42857142857142855,0.6,1.0628843486309052,0.22130933858784277,0,0,none,0.40638594225951374,demand/capacity=1.15,12,13,5,2,2,2,3,1,145157.91028708132
151,251,595,0.4218487394957983,0.6,1.0628843486309052,0.22130933858784277,0,0,none,0.40638594225951374,demand/capacity=1.15,17,9,8,1,4,1,3,1,146284.86184210525
152,278,595,0.4672268907563025,0.5411764705882353,1.0628843486309052,0.22130933858784277,0,0,none,0.40638594225951374,demand/capacity=1.15,22,7,9,4,5,2,3,1,147459.4898677174
153,279,595,0.4689075630252101,0.5411764705882353,1.0628843486309052,0.22130933858784277,0,0,none,0.40638594225951374,demand/capacity=1.15,21,11,4,7,3,2,3,1,148638.08499859273
154,263,595,0.44201680672268906,0.6272727272727273,1.0628843486309052,0.22130933858784277,0,0,none,0.40638594225951374,demand/capacity=1.15,16,18,6,7,4,2,3,1,149771.64920489726
155,267,595,0.44873949579831934,0.6272727272727273,1.0628843486309052,0.22130933858784277,0,0,none,0.40638594225951374,demand/capacity=1.15,13,17,3,3,2,2,3,1,150913.97811708413
156,280,595,0.47058823529411764,0.6272727272727273,1.0628843486309052,0.22130933858784277,0,0,none,0.40638594225951374,demand/capacity=1.15,15,15,7,4,3,2,3,1,152091.1030819026
157,214,595,0.3596638655462185,0.49473684210526314,1.0628843486309052,0.22130933858784277,0,0,none,0.40638594225951374,demand/capacity=1.15,20,8,11,2,4,2,3,1,153159.693955812
158,249,595,0.4184873949579832,0.6090909090909091,1.0628843486309052,0.22130933858784277,0,0,none,0.40638594225951374,demand/capacity=1.15,28,7,10,1,4,1,3,1,154276.61370672673
159,253,595,0.42521008403361343,1.0,1.0628843486309052,0.22130933858784277,0,0,none,0.40638594225951374,demand/capacity=1.15,23,13,2,12,1,2,3,1,155383.85702223473
