t,active_cpu_fog,fog_capacity,pressure,predicted_pressure,prediction_uncertainty,tasks_placed_fog,tasks_placed_cloud,scale_decision,scale_up_total,scale_down_total,energy_joules_cumul,offload_ratio,fog_f0_p,fog_f0_load,fog_f0_power,fog_f1_p,fog_f1_load,fog_f1_power,fog_f2_p,fog_f2_load,fog_f2_power,fog_f3_p,fog_f3_load,fog_f3_power,fog_f4_p,fog_f4_load,fog_f4_power,cloud_c0_load,cloud_c1_load
14,103.33333333333333,110.0,0.9393939393939393,0.4702727272727272,0.1,0,2,none,0,2,2677.9292929292933,1.0,0.9393939393939393,103.33333333333333,170.9090909090909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.66666666666661,0.0
15,22.33333333333333,110.0,0.20303030303030298,0.3900999999999999,0.1,3,1,none,0,2,2802.0202020202023,0.25,0.6272727272727273,69.0,124.0909090909091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,139.3333333333333,0.0
16,46.66666666666667,110.0,0.4242424242424243,0.3900999999999999,0.1,2,0,none,0,2,2924.29292929293,0.0,0.6151515151515152,67.66666666666667,122.27272727272728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,139.3333333333333,0.0
17,67.66666666666667,110.0,0.6151515151515152,0.3900999999999999,0.1,2,0,none,0,2,3088.383838383839,0.0,0.893939393939394,98.33333333333334,164.0909090909091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.333333333333286,0.0
18,53.000000000000014,110.0,0.4818181818181819,0.3900999999999999,0.1,2,1,none,0,2,3222.9292929292933,0.3333333333333333,0.6969696969696971,76.66666666666669,134.54545454545456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0
19,29.333333333333357,110.0,0.2666666666666669,0.3900999999999999,0.1,1,0,none,0,2,3294.7474747474753,0.0,0.278787878787879,30.66666666666669,71.81818181818184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0
20,25.00000000000002,110.0,0.22727272727272746,0.34125181818181816,0.1,2,3,none,0,2,3450.6565656565663,0.6,0.8393939393939396,92.33333333333336,155.90909090909093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,153.33333333333331,0.0
21,68.66666666666669,110.0,0.6242424242424244,0.34125181818181816,0.1,1,1,none,0,2,3628.3838383838392,0.5,0.984848484848485,108.33333333333334,177.72727272727275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,234.33333333333331,0.0
22,108.33333333333334,110.0,0.984848484848485,0.34125181818181816,0.1,0,2,none,0,2,3806.111111111112,1.0,0.984848484848485,108.33333333333334,177.72727272727275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,220.33333333333331,0.0
23,41.000000000000014,110.0,0.37272727272727285,0.34125181818181816,0.1,0,0,none,0,2,3892.020202020203,0.0,0.37272727272727285,41.000000000000014,85.90909090909093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,191.99999999999997,0.0
24,1.4210854715202004e-14,110.0,1.291895883200182e-16,0.34125181818181816,0.1,4,0,none,0,2,4003.3838383838397,0.0,0.5424242424242426,59.666666666666686,111.36363636363639,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.999999999999972,0.0
25,59.666666666666686,110.0,0.5424242424242426,0.40160354545454546,0.1,3,0,none,0,2,4177.020202020203,0.0,0.9575757575757576,105.33333333333334,173.63636363636365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,105.33333333333334,110.0,0.9575757575757576,0.40160354545454546,0.1,0,1,none,0,2,4350.656565656567,1.0,0.9575757575757576,105.33333333333334,173.63636363636365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
27,45.66666666666667,110.0,0.4151515151515152,0.40160354545454546,0.1,7,0,none,0,2,4521.111111111112,0.0,0.9363636363636364,103.0,170.45454545454547,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
28,57.333333333333336,110.0,0.5212121212121212,0.40160354545454546,0.1,2,1,none,0,2,4678.383838383839,0.3333333333333333,0.8484848484848486,93.33333333333334,157.2727272727273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0
29,68.33333333333334,110.0,0.6212121212121213,0.40160354545454546,0.1,0,0,none,0,2,4801.565656565657,0.0,0.6212121212121213,68.33333333333334,123.1818181818182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0
30,13.666666666666671,110.0,0.12424242424242428,0.31839520909090907,0.1,3,0,none,0,2,4916.565656565657,0.0,0.5666666666666667,62.333333333333336,115.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
