t,pool_active_cpu_fog,pool_fog_capacity,pool_pressure,predicted_pressure,prediction_uncertainty,offload_ratio,tasks_placed_fog,tasks_placed_cloud,scale_decision,fog_f0_p,fog_f0_power,fog_f1_p,fog_f1_power,fog_f2_p,fog_f2_power,fog_f3_p,fog_f3_power,fog_f4_p,fog_f4_power,cloud_c0_load,cloud_c1_load
0,91.3333,185.0,0.493694,0.0,0.05,0.0,2,0,down,0.818182,152.7273,0.0,0.0,0.0,0.0,0.0,0.0,0.017778,21.7778,0.0,0.0
1,157.3333,185.0,0.85045,0.172793,0.246847,0.0,1,0,none,0.818182,152.7273,0.0,0.0,0.0,0.0,0.0,0.0,0.897778,109.7778,0.0,0.0
2,158.6667,185.0,0.857658,0.409973,0.348692,0.300901,1,1,none,0.830303,154.5455,0.0,0.0,0.0,0.0,0.0,0.0,0.897778,109.7778,0.05,0.0
3,164.3333,185.0,0.888288,0.396392,0.303805,0.0,2,0,none,0.881818,162.2727,0.0,0.0,0.0,0.0,0.0,0.0,0.897778,109.7778,0.05,0.0
4,99.6667,185.0,0.538739,0.441169,0.274403,0.0,2,0,none,0.881818,162.2727,0.0,0.0,0.0,0.0,0.0,0.0,0.035556,23.5556,0.0,0.0
5,101.0,185.0,0.545946,0.475318,0.252771,0.0,1,0,none,0.881818,162.2727,0.0,0.0,0.0,0.0,0.0,0.0,0.053333,25.3333,0.0,0.0
6,30.6667,185.0,0.165766,0.316524,0.280405,0.0,3,0,none,0.242424,66.3636,0.0,0.0,0.0,0.0,0.0,0.0,0.053333,25.3333,0.0,0.0
7,146.6667,185.0,0.792793,0.263759,0.273495,0.0,3,0,none,1.069697,180.0,0.0,0.0,0.0,0.0,0.0,0.0,0.386667,58.6667,0.0,0.0
8,299.3333,185.0,1.618018,0.443876,0.287927,0.156757,4,0,none,1.887879,180.0,0.0,0.0,0.0,0.0,0.0,0.0,1.222222,120.0,0.0,0.0
9,417.6667,280.0,1.491667,0.707258,0.359752,0.180952,3,2,emergency_up,1.418182,180.0,0.0,0.0,1.803509,145.0,0.0,0.0,1.204444,120.0,0.002667,0.022
10,360.3333,365.0,0.987215,0.899301,0.38378,0.526941,2,4,emergency_up,0.818182,152.7273,0.0,0.0,1.803509,145.0,0.101961,30.1961,1.204444,120.0,0.058667,0.069333
11,166.0,365.0,0.454795,0.64208,0.406624,0.0,2,0,none,0.736364,140.4545,0.0,0.0,0.540351,89.8421,0.101961,30.1961,0.333333,53.3333,0.058667,0.069333
12,368.3333,365.0,1.009132,0.527306,0.403659,0.0,4,0,none,0.736364,140.4545,0.0,0.0,0.866667,129.0,1.513725,120.0,1.017778,120.0,0.008667,0.047333
13,355.6667,365.0,0.974429,0.663662,0.414814,0.43379,2,0,none,0.9,165.0,0.0,0.0,0.866667,129.0,1.411765,120.0,0.724444,92.4444,0.0,0.0
14,174.0,365.0,0.476712,0.579691,0.417439,0.0,2,0,none,0.175758,56.3636,0.0,0.0,0.866667,129.0,0.211765,41.1765,0.724444,92.4444,0.0,0.0
15,208.3333,365.0,0.570776,0.416753,0.440205,0.0,4,0,none,1.266667,180.0,0.0,0.0,0.491228,83.9474,0.211765,41.1765,0.057778,25.7778,0.0,0.0
16,207.0,365.0,0.567123,0.449246,0.406317,0.0,2,0,none,1.10303,180.0,0.0,0.0,0.477193,82.2632,0.211765,41.1765,0.297778,49.7778,0.0,0.0
17,99.6667,365.0,0.273059,0.358174,0.403975,0.0,2,0,none,0.290909,73.6364,0.0,0.0,0.477193,82.2632,0.0,20.0,0.297778,49.7778,0.0,0.0
18,176.6667,280.0,0.630952,0.283635,0.41827,0.0,3,0,down,0.493939,104.0909,0.0,0.0,1.052632,145.0,0.0,0.0,0.297778,49.7778,0.0,0.0
19,130.6667,280.0,0.466667,0.34603,0.352952,0.0,1,0,none,0.266667,70.0,0.0,0.0,1.052632,145.0,0.0,0.0,0.017778,21.7778,0.0,0.0
20,245.6667,185.0,1.327928,0.256169,0.2427,0.0,5,0,down,1.724242,180.0,0.0,0.0,0.0,0.0,0.0,0.0,0.746667,94.6667,0.0,0.0
21,342.6667,280.0,1.22381,0.58651,0.347186,0.185714,2,0,emergency_up,1.509091,180.0,0.0,0.0,1.270175,145.0,0.0,0.0,0.746667,94.6667,0.0,0.0
22,228.6667,280.0,0.816667,0.653315,0.358504,0.154762,1,1,none,0.6,120.0,0.0,0.0,1.270175,145.0,0.0,0.0,0.56,76.0,0.2,0.0
23,133.0,280.0,0.475,0.590905,0.328219,0.0,0,0,none,0.0,30.0,0.0,0.0,1.270175,145.0,0.0,0.0,0.164444,36.4444,0.2,0.0
24,70.6667,280.0,0.252381,0.397838,0.349524,0.0,4,0,none,0.327273,79.0909,0.0,0.0,0.249123,54.8947,0.0,0.0,0.146667,34.6667,0.0,0.0
25,105.3333,280.0,0.37619,0.333178,0.342623,0.0,3,0,none,0.327273,79.0909,0.0,0.0,0.312281,62.4737,0.0,0.0,0.528889,72.8889,0.0,0.0
26,108.3333,280.0,0.386905,0.348232,0.341078,0.0,1,0,none,0.327273,79.0909,0.0,0.0,0.34386,66.2632,0.0,0.0,0.528889,72.8889,0.0,0.0
27,106.0,170.0,0.623529,0.287184,0.342034,0.0,7,0,down,0.0,0.0,0.0,0.0,0.666667,105.0,0.0,0.0,0.568889,76.8889,0.0,0.0
28,121.3333,170.0,0.713725,0.310886,0.332361,0.0,3,0,none,0.0,0.0,0.0,0.0,0.603509,97.4211,0.0,0.0,0.853333,105.3333,0.0,0.0
29,93.3333,170.0,0.54902,0.394232,0.334582,0.0,0,0,none,0.0,0.0,0.0,0.0,0.308772,62.0526,0.0,0.0,0.853333,105.3333,0.0,0.0
30,62.3333,170.0,0.366667,0.284388,0.335484,0.0,3,0,none,0.0,0.0,0.0,0.0,0.291228,59.9474,0.0,0.0,0.462222,66.2222,0.0,0.0
31,173.6667,170.0,1.021569,0.285049,0.214156,0.0,2,0,none,0.0,0.0,0.0,0.0,1.315789,145.0,0.0,0.0,0.648889,84.8889,0.0,0.0
32,148.6667,170.0,0.87451,0.49136,0.235273,0.34902,0,0,none,0.0,0.0,0.0,0.0,1.052632,145.0,0.0,0.0,0.648889,84.8889,0.0,0.0
33,107.3333,170.0,0.631373,0.319384,0.251094,0.0,3,0,none,0.0,0.0,0.0,0.0,0.852632,127.3158,0.0,0.0,0.351111,55.1111,0.0,0.0
34,110.3333,170.0,0.64902,0.42858,0.253669,0.0,1,0,none,0.0,0.0,0.0,0.0,0.852632,127.3158,0.0,0.0,0.391111,59.1111,0.0,0.0
35,217.3333,170.0,1.278431,0.454263,0.252428,0.0,5,0,none,0.0,0.0,0.0,0.0,1.392982,145.0,0.0,0.0,1.133333,120.0,0.0,0.0
36,253.6667,170.0,1.492157,0.575957,0.281902,0.203922,6,0,none,0.0,0.0,0.0,0.0,1.585965,145.0,0.0,0.0,1.373333,120.0,0.0,0.0
37,227.3333,280.0,0.811905,0.836235,0.374121,0.202381,1,1,emergency_up,0.027273,34.0909,0.0,0.0,1.585965,145.0,0.0,0.0,0.982222,118.2222,0.011333,0.0
38,127.3333,280.0,0.454762,0.695636,0.37093,0.0,1,0,none,0.078788,41.8182,0.0,0.0,1.045614,145.0,0.0,0.0,0.257778,45.7778,0.011333,0.0
